Elemento,N_axial_kN,P_promedio_kN,Diff_kN,Diff_abs_kN,Diff_pct,Tipo
103,67.2993990865195,-880.5468000000001,947.8461990865196,947.8461990865196,107.64290983853334,Compresión
73,59.5241663225957,-868.9256,928.4497663225957,928.4497663225957,106.85031782399925,Compresión
104,240.401966801436,-686.4291,926.831066801436,926.831066801436,135.02211159917533,Compresión
114,-1611.93120345477,-686.4291,-925.50210345477,925.50210345477,134.82850626619486,Compresión
22,-1.24426009774262e-12,895.5176,-895.5176000000013,895.5176000000013,99.99999988833288,Tensión
24,-0.0,895.5176,-895.5176,895.5176,99.99999988833272,Tensión
95,-0.0,876.0431,-876.0431,876.0431,99.99999988585037,Tensión
93,8.238897661646379e-12,876.0429,-876.0428999999918,876.0428999999918,99.9999998858494,Tensión
62,-144.924180558599,-1003.5691333333334,858.6449527747344,858.6449527747344,85.55912327306962,Compresión
53,183.792209086984,-652.4188,836.2110090869841,836.2110090869841,128.1708938806293,Compresión
115,-67.2993990865585,-880.5468000000001,813.2474009134415,813.2474009134415,92.35708993433065,Compresión
85,-59.5241663226362,-868.9256,809.4014336773638,809.4014336773638,93.14968194582677,Compresión
14,-844.330211940527,-1560.9878333333334,716.6576213928064,716.6576213928064,45.91051932822246,Compresión
5,156.492840581397,-485.8591666666667,642.3520072480637,642.3520072480637,132.20950637464603,Compresión
23,1535.60202689489,895.5172,640.08482689489,640.08482689489,71.47655301094434,Tensión
46,2.11392748409945e-12,591.8681,-591.8680999999979,591.8680999999979,99.99999983104307,Tensión
48,2.11392748409945e-12,591.8679,-591.8678999999978,591.8678999999978,99.99999983104301,Tensión
113,-1466.6224222477,-880.5468000000001,-586.0756222476998,586.0756222476998,66.55814564110827,Compresión
69,530.432656302101,1030.0669,-499.634243697899,499.634243697899,48.505028480465555,Tensión
64,-3741.89808431722,-4229.0298,487.1317156827804,487.1317156827804,11.518758169251793,Compresión
121,-642.346979728737,-1124.4846333333332,482.13765360459627,482.13765360459627,42.87632208424426,Compresión
61,-183.792209086944,-652.4188,468.626590913056,468.626590913056,71.82910581282528,Compresión
119,-311.866388507705,152.47,-464.336388507705,464.336388507705,304.5427857691855,Tensión
116,-240.401966801479,-686.4291,446.0271331985209,446.0271331985209,64.97788810945545,Compresión
37,279.099900578587,-97.1455,376.245400578587,376.245400578587,387.3009009224081,Compresión
131,164.948725608423,-196.97513333333333,361.9238589417563,361.9238589417563,183.74088697372667,Compresión
83,-1224.58007183333,-868.9278,-355.65227183333,355.65227183333,40.93001414202997,Compresión
13,-156.492840581366,-485.8591666666667,329.36632608530067,329.36632608530067,67.79049321371846,Compresión
38,-1223.94407242434,-933.6384,-290.30567242433995,290.30567242433995,31.09401585382518,Compresión
132,71.2871930066665,-196.97513333333333,268.26232633999985,268.26232633999985,136.1909599645354,Compresión
96,612.971574147323,876.0436,-263.0720258526769,263.0720258526769,30.029558523386434,Tensión
47,358.667311532298,591.8683,-233.20098846770196,233.20098846770196,39.40082414849617,Tensión
84,-401.178246954514,-592.2706,191.09235304548594,191.09235304548594,32.26436576842448,Compresión
29,-279.099900578557,-97.1455,-181.95440057855703,181.95440057855703,187.3009029811448,Compresión
74,-762.100326720574,-592.2684666666668,-169.83186005390723,169.83186005390723,28.674810381681485,Compresión
117,311.866388507702,152.47,159.39638850770203,159.39638850770203,104.54278708091701,Tensión
120,-1.0710567948808399e-11,152.4704,-152.47040000001073,152.47040000001073,99.99999934414203,Tensión
118,1.60658519232126e-11,152.4704,-152.47039999998395,152.47039999998395,99.99999934412446,Tensión
51,-787.816530055868,-652.4209,-135.39563005586808,135.39563005586808,20.75280387987878,Compresión
129,-71.2871930066516,-196.97513333333333,125.68794032668173,125.68794032668173,63.80903902011557,Compresión
60,-1116.91334026412,-1003.5669666666666,-113.34637359745341,113.34637359745341,11.294350775712383,Compresión
87,-3029.35105085506,-3123.1992000000005,93.84814914494063,93.84814914494063,3.004872347395962,Compresión
3,-575.188286370606,-485.8592333333333,-89.32905303727267,89.32905303727267,18.38578887151226,Compresión
127,-58.4365305983836,20.7719,-79.2084305983836,79.2084305983836,381.32489943209146,Tensión
97,-2015.72837436985,-1943.3037333333332,-72.42464103651673,72.42464103651673,3.726882203587316,Compresión
133,7.85931310888112,-33.5445,41.40381310888112,41.40381310888112,123.42950967993566,Compresión
125,58.4365305983836,20.7719,37.664630598383596,37.664630598383596,181.32490906048318,Tensión
134,7.497397564165889e-11,-33.5445,33.544500000074976,33.544500000074976,99.99999701910897,Compresión
136,-1.0710567948808399e-11,-33.5445,33.54449999998929,33.54449999998929,99.99999701885355,Compresión
130,-164.948725608403,-196.97513333333333,32.02640772493032,32.02640772493032,16.259112010926863,Compresión
135,-7.85931310887845,-33.5445,25.68518689112155,25.68518689112155,76.57048435784318,Compresión
126,1.0710567948808399e-11,20.7719,-20.771899999989287,20.771899999989287,99.99999518575255,Tensión
128,2.1421135897616798e-11,20.7719,-20.771899999978576,20.771899999978576,99.999995185701,Tensión
12,-1575.84665040238,-1560.9878,-14.858850402379858,14.858850402379858,0.9518876696448864,Compresión
