ID,Elemento,Porcentaje,Tiempo_s,ObjFinal,DeteccionOK,PromDispersion,StdDispersion,MeanAbsDispersion,N_FalsosPositivos
247,28,20,12025.7343375,1.06517679304796,TRUE,4.24842709255875,5.69688103207922,4.24842709255875,1
248,28,25,12071.3531603,1.06899442621569,TRUE,4.32844399993358,5.79895296766942,4.32844399993358,1
249,28,30,12122.3986183,1.07359529281349,TRUE,4.4223980106354,5.91898089397642,4.4223980106354,1
250,28,35,12179.0767298,1.07462754968059,TRUE,4.44370293601271,5.94524452846373,4.44370293601271,1
251,28,40,12221.0634495,1.07527175963586,TRUE,4.4605450047534,5.96256369461137,4.4605450047534,1
252,28,45,12272.4487735,1.07574262623498,TRUE,4.47474061268168,5.97420038262632,4.47474061268168,1
253,29,5,12317.8115175,1.05429499563394,TRUE,3.81803370575845,5.65362399113882,3.81803370575845,1
254,29,10,12366.0386764,1.055142258777,TRUE,3.86047806263453,5.70904829677286,3.86047806263453,1
255,29,15,12415.8422845,1.0562371040118,TRUE,3.9119563804978,5.7791778203662,3.9119563804978,1
256,29,20,12461.5198289,1.05783575329918,TRUE,3.98209161821467,5.87408039004987,3.98209161821467,1
257,29,25,12513.7641222,1.06028397819547,TRUE,4.08598765544035,6.00856004522023,4.08598765544035,1
258,29,30,12562.9768513,1.06347909316717,TRUE,4.20673025704396,6.16985962101762,4.20673025704396,1
259,29,35,12612.2117579,1.06422451824454,TRUE,4.24033193862915,6.2081128203039,4.24033193862915,1
260,29,40,12647.0432654,1.06478110871636,TRUE,4.26132152367745,6.23497058763378,4.26132152367745,1
261,29,45,12692.2124292,1.0653008610024,TRUE,4.27903707509662,6.25773006365847,4.27903707509662,1
262,30,5,12745.1350355,1.96233651121052,FALSE,29.105553610623,4.65960064856925,29.105553610623,4
263,30,10,12791.5078468,1.95815268555753,FALSE,24.716983524696,8.50853733269523,24.716983524696,4
264,30,15,12828.7272022,1.9550213104346,FALSE,26.9008815569224,8.32540008132329,26.9008815569224,4
265,30,20,12865.5416553,1.95392497991129,FALSE,29.6803393058818,9.1319565698016,29.6803393058818,5
266,30,25,12916.6930386,1.94500650188531,FALSE,16.0056176505657,14.6431226058097,16.0056176505657,7
267,30,30,12963.517069,1.93889633838712,FALSE,17.7835415297762,16.6312634821937,17.7835415297762,4
268,30,35,13013.3414471,1.95675571143323,FALSE,29.5184539580975,5.83365319123895,29.5184539580975,11
269,30,40,13062.4339954,1.9579506550155,FALSE,28.7951863917368,6.85061616817466,28.7951863917368,11
270,30,45,13111.4033988,1.95762171914671,FALSE,31.6755789450751,9.98906895202411,31.6755789450751,5
271,31,5,13154.9640262,1.06268150036209,TRUE,3.88689041652932,5.52344584706671,3.88689041652932,0
272,31,10,13193.5667064,1.06432534123551,TRUE,3.91729461992763,5.56732775188473,3.91729461992763,0
273,31,15,13250.6439567,1.06638196768245,TRUE,3.95494240814365,5.62146496356465,3.95494240814365,0
274,31,20,13304.4739569,1.0691354871898,TRUE,4.00870484085935,5.6934818897813,4.00870484085935,0
275,31,25,13352.5628224,1.0730334099223,TRUE,4.08366766718451,5.79316434303279,4.08366766718451,0
276,31,30,13406.2483784,1.07766751152475,TRUE,4.1734102773143,5.91116865048334,4.1734102773143,0
